Exercise 12

List 100 phone numbers in separated parts: country code, area code and line number

mysql> SELECT SUBSTRING(content, -15, 1) AS 'Country Code', SUBSTRING(content, -13, 3) AS 'Area Code', SUBSTRING(content, -9) as 'Line Number' FROM Phone LIMIT 100;
+--------------+-----------+-------------+
| Country Code | Area Code | Line Number |
+--------------+-----------+-------------+
|              | 726       |  732-1076   |
|              | 646       |  640-1430   |
|              | 111       |  396-3055   |
|              | 605       |  230-7173   |
|              | 397       |  966-5700   |
|              | 594       |  756-8455   |
|              | 487       |  897-3861   |
|              | 282       |  869-7478   |
|              | 255       |  647-1196   |
|              | 169       |  195-3964   |
|              | 719       |  441-1506   |
|              | 840       |  607-2973   |
|              | 956       |  901-1794   |
|              | 778       |  799-6921   |
|              | 297       |  648-9955   |
|              | 392       |  459-7615   |
|              | 138       |  486-5328   |
|              | 504       |  381-1187   |
|              | 236       |  569-9186   |
|              | 427       |  373-9039   |
|              | 170       |  776-2226   |
|              | 588       |  653-2753   |
|              | 401       |  921-5802   |
|              | 439       |  275-5002   |
|              | 553       |  761-8526   |
|              | 330       |  317-3260   |
|              | 793       |  537-0227   |
|              | 367       |  706-0447   |
|              | 620       |  399-2377   |
|              | 391       |  520-2816   |
|              | 136       |  155-0342   |
|              | 878       |  746-8732   |
|              | 869       |  950-7777   |
|              | 346       |  107-9046   |
|              | 569       |  964-0253   |
|              | 475       |  816-1004   |
|              | 725       |  857-1097   |
|              | 698       |  172-7372   |
|              | 981       |  736-3792   |
|              | 657       |  407-1675   |
|              | 466       |  579-3267   |
|              | 983       |  368-1507   |
|              | 786       |  458-8601   |
|              | 354       |  198-5030   |
|              | 149       |  369-1695   |
|              | 361       |  964-9279   |
|              | 379       |  235-1644   |
|              | 566       |  325-0433   |
|              | 219       |  525-1191   |
|              | 677       |  950-1255   |
|              | 688       |  419-6102   |
|              | 533       |  316-9295   |
|              | 462       |  901-5262   |
|              | 245       |  422-5333   |
|              | 882       |  368-5510   |
|              | 496       |  403-4685   |
|              | 398       |  373-3241   |
|              | 694       |  793-5879   |
|              | 348       |  539-4214   |
|              | 968       |  455-4730   |
|              | 875       |  858-4572   |
|              | 895       |  212-1031   |
|              | 759       |  223-5391   |
|              | 668       |  633-3815   |
|              | 323       |  413-7069   |
|              | 648       |  342-6096   |
|              | 929       |  521-3906   |
|              | 486       |  621-7392   |
|              | 435       |  764-5848   |
|              | 919       |  875-6545   |
|              | 403       |  500-8533   |
|              | 639       |  884-2557   |
|              | 532       |  822-2676   |
|              | 132       |  239-8228   |
|              | 737       |  500-9927   |
|              | 495       |  278-4667   |
|              | 138       |  234-7461   |
|              | 821       |  713-2972   |
|              | 899       |  354-9609   |
|              | 895       |  316-2615   |
|              | 666       |  270-0985   |
|              | 470       |  382-8117   |
|              | 305       |  831-2727   |
|              | 771       |  386-8454   |
|              | 667       |  202-1942   |
|              | 222       |  852-5376   |
|              | 414       |  108-5268   |
|              | 765       |  337-8274   |
|              | 903       |  918-8276   |
|              | 192       |  744-4834   |
|              | 451       |  198-7309   |
|              | 585       |  417-0600   |
|              | 814       |  238-5737   |
|              | 944       |  125-2712   |
|              | 357       |  332-2386   |
|              | 504       |  941-7697   |
|              | 492       |  719-2566   |
|              | 831       |  209-7988   |
|              | 898       |  444-3041   |
|              | 388       |  930-6692   |
+--------------+-----------+-------------+
100 rows in set (0.00 sec)
